id,name,track,length,country_id,direction,type,image_path
1,Australian Grand Prix,Albert Park,5.303,98,clockwise,street-circuit,https://cdn.sportmonks.com/images/f1/circuits/albert-park-circuit.png
2,Chinese Grand Prix,Shanghai International Circuit ,5.451,5618,clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/shanghai-international-circuit.png
3,Bahrain Grand Prix,Bahrain International Circuit,5.412,190321,clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/bahrain-international-circuit.png
4,Russian Grand Prix,Sochi International Street Circuit,5.848,227,clockwise,street-circuit,https://cdn.sportmonks.com/images/f1/circuits/sochi-autodrom-circuit.png
5,Spanish Grand Prix,Circuit de Catalunya,4.675,32,clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/catalunya-circuit.png
6,Monaco Grand Prix,Circuit de Monaco,3.337,75285,clockwise,street-circuit,https://cdn.sportmonks.com/images/f1/circuits/monaco-circuit.png
7,Canadian Grand Prix,Circuit Gilles Villeneuve,4.361,1004,clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/gilles-villeneuve-circuit.png
8,Azerbaijan Grand Prix,Baku City Circuit,6.003,2453,anti-clockwise,street-circuit,https://cdn.sportmonks.com/images/f1/circuits/baku-city-circuit.png
9,Austrian Grand Prix,Red Bull Ring,4.318,143,clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/redbull-ring-circuit.png
10,British Grand Prix,Silverstone Circuit,5.891,462,clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/silverstone-circuit.png
11,Hungarian Grand Prix,Hungaroring,4.381,674,clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/hungaroring-circuit.png
12,Belgian Grand Prix,Spa-Francorchamps,7.004,556,clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/spa-francorchamps-circuit.png
13,Italian Grand Prix,Autodromo Nazionale Monza,5.793,251,anti-clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/monza-circuit.png
14,Singapore Grand Prix,Marina Bay Circuit,5.063,213955,clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/marina-bay-circuit.png
15,Malaysian Grand Prix,Sepang International Circuit,5.543,3995,clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/sepang-circuit-png
16,Japanese Grand Prix,Suzuka Circuit,5.807,479,50/50,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/suzuka-circuit.png
17,USA Grand Prix,Circuit of the Americas,5.513,3483,anti-clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/austin-circuit.png
18,Mexican Grand Prix,Autodromo Hermanos Rodriguez,4.304,6,clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/autodromo-hermanos-rodríguez-circuit.png
19,Brazilian Grand Prix,Autodromo Jose Carlos Pace,5.031,7,anti-clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/interlagos-circuit.png
20,Abu Dhabi Grand Prix,Yas Marina Circuit,5.554,45,anti-clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/yas-marina-circuit.png
21,France Grand Prix,Circuit Paul Ricard,5.842,17,clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/paul-ricard-circuit.png
22,German Grand Prix,Nurburgring,5.148,11,clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/nurburgring-circuit.png
23,Netherlands Grand Prix,Circuit Zandvoort,4.259,38,clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/park-zandvoort-circuit.png
24,Vietnam Grand Prix,,,69697,clockwise,race-circuit,
26,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,4.909,251,clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/imola-circuit.png
32,Bahrain Grand Prix 2,,5.412,190321,clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/bahrain-international-circuit.png
33,Turkey Grand Prix,Intercity Istanbul Park,5.338,404,clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/istanbul-park-circuit.png
34,Austria Der Steiermark Grand Prix,Red Bull Ring,4.318,143,clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/redbull-ring-circuit.png
35,Saudi Arabia Grand Prix,Jeddah Street Circuit,6.175,35376,anti-clockwise,street-circuit,https://cdn.sportmonks.com/images/f1/circuits/jeddah-street-circuit.png
37,Portugal Grand Prix,Autodromo Internacional Do Algarve,4.653,20,clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/algarve-international-circuit.png
39,Qatar Grand Prix,Losail International Circuit,4.653,74505,clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/losail-international-circuit.png
40,Miami Grand Prix,Miami International Autodrome,,6,clockwise,race-circuit,
