id,driver_id,team_id,season_id,points,position
91043,232402,15,7,416,1
91044,232407,15,7,280,2
91046,232409,11,7,275,3
91042,258813,13,7,231,4
91041,232394,13,7,216,5
91045,232405,11,7,212,6
91047,1234320,14,7,111,7
91052,232406,16,7,82,8
91051,232396,16,7,71,9
91053,232395,19,7,47,10
91107,232393,20,7,36,11
91048,232400,14,7,35,12
91265,2837144,18,7,24,13
91049,232399,17,7,23,14
91108,232411,20,7,13,15
91264,2837143,18,7,12,16
91050,2837148,17,7,12,17
91106,232397,19,7,6,18
5234405,6173364,57,7,4,19
91109,1987897,57,7,2,20
5234404,6293006,57,7,2,21
3466202,6292954,20,7,0,22
